,Country,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
248,ES,Burriana,39.889,-0.085,289.31,68,0.59,56,1636045898
249,US,Havelock,34.8791,-76.9013,288.14,73,1.34,100,1636045898
250,PG,Lae,-6.7221,146.9847,297.15,78,2.44,100,1636045899
251,SA,Umluj,25.0213,37.2685,300.92,65,3.33,0,1636045899
252,RU,Kirovskiy,45.0917,133.5136,277.13,90,1.16,6,1636045900
253,ZM,Lukulu,-14.3707,23.242,297.8,52,2.83,83,1636045900
254,RU,Lensk,60.7253,114.9278,258.46,90,3.98,100,1636045901
255,CN,Linxia Chengguanzhen,35.6003,103.2064,279.81,74,0.43,11,1636045901
256,US,San Patricio,28.017,-97.5169,287.2,77,6.41,98,1636045902
257,RU,Lavrentiya,65.5833,-171.0,264.5,80,5.42,100,1636045903
258,MV,Malé,4.1748,73.5089,301.11,78,7.53,97,1636045903
259,BR,Rancharia,-22.2292,-50.8931,305.41,34,1.35,1,1636045904
260,EC,Sacama,-3.9,-79.2667,290.6,62,1.95,71,1636045904
261,NC,Vao,-22.6667,167.4833,293.46,69,5.79,73,1636045905
262,PG,Kavieng,-2.5744,150.7967,301.16,71,6.68,100,1636045905
263,NO,Sørland,67.667,12.6934,279.07,76,1.93,100,1636045717
264,PK,Hafizabad,32.0679,73.6854,293.88,30,2.39,7,1636045906
265,ZA,Bredasdorp,-34.5322,20.0403,290.53,71,7.64,100,1636045907
266,MX,San Quintín,30.4833,-115.95,293.14,70,2.69,17,1636045907
267,MU,Bambous Virieux,-20.3428,57.7575,296.05,71,4.03,0,1636045865
268,BR,Santarém,-2.4431,-54.7083,305.22,62,4.12,40,1636045917
269,BE,Nieuwpoort,51.1244,2.7735,283.16,81,7.2,40,1636045917
270,VE,Villa Bruzual,9.3328,-69.1208,306.06,50,1.42,37,1636045918
271,US,Oneida,43.2001,-75.4663,281.19,74,0.45,20,1636045919
272,BR,Vilhena,-12.7406,-60.1458,300.63,72,1.46,100,1636045919
273,IS,Keflavik,64.0049,-22.5624,279.39,87,6.17,90,1636045920
274,ID,Manado,1.487,124.8455,298.58,94,0.51,40,1636045920
275,CD,Mbuji-Mayi,-6.15,23.6,297.09,70,0.88,13,1636045921
276,US,Snyder,32.7179,-100.9176,283.2,81,0.0,90,1636045922
277,BJ,Porto-Novo,6.4965,2.6036,300.94,75,3.41,55,1636045752
278,NA,Lüderitz,-26.6481,15.1594,291.45,68,9.86,24,1636045923
279,NA,Eenhana,-17.4667,16.3333,305.77,11,3.12,100,1636045923
280,BR,Esmeraldas,-19.7625,-44.3139,302.63,58,1.82,59,1636045842
281,PH,Davila,18.4726,120.5763,298.6,77,3.67,42,1636045924
282,PE,Acarí,-15.4311,-74.6158,298.46,49,5.43,52,1636045925
283,GB,Margate,51.3813,1.3862,282.42,78,4.47,83,1636045925
284,CN,Fuxin,42.0156,121.6589,282.72,72,1.39,0,1636045915
285,MY,Marabu,4.4148,114.0089,298.29,89,1.71,100,1636045926
286,AU,Port Macquarie,-31.4333,152.9167,290.31,76,3.36,100,1636045927
287,AU,Nhulunbuy,-12.2333,136.7667,299.49,89,0.0,22,1636045927
288,GA,Omboué,-1.5746,9.2618,298.99,85,3.94,94,1636045928
289,CO,Inírida,3.8653,-67.9239,304.11,67,0.81,73,1636045928
290,LY,Jalu,29.0331,21.5482,300.96,22,3.45,0,1636045929
291,ID,Muncar,-8.4333,114.3333,297.95,91,1.76,100,1636045929
292,PW,Kloulklubed,7.0419,134.2556,299.43,74,4.26,100,1636045930
293,GB,Lerwick,60.1545,-1.1494,281.15,73,5.66,99,1636045930
294,CA,Sept-Îles,50.2001,-66.3821,275.96,53,1.79,12,1636045802
295,TZ,Dodoma,-6.1722,35.7395,300.46,32,5.02,40,1636045932
296,RU,Pevek,69.7008,170.3133,248.36,95,2.99,98,1636045933
297,CA,Iqaluit,63.7506,-68.5145,266.0,79,1.79,75,1636045933
298,US,Sheridan,44.8333,-106.9173,288.25,47,2.57,1,1636045934
299,TH,Bo Phloi,14.3236,99.5161,297.0,91,1.52,74,1636045934
300,AR,Viedma,-40.8135,-62.9967,291.05,25,3.38,100,1636045935
301,BR,Piranhas,-16.4269,-51.8222,303.37,59,2.56,77,1636045936
302,IS,Vestmannaeyjar,63.4427,-20.2734,280.7,81,7.72,90,1636045936
